"specialista_descrizione","specializzazione"
"Allergologia — si occupa di: starnuti e naso che cola in primavera, occhi rossi che prudono quando c'è polline, pomfi che compaiono e scompaiono orticaria, fiato corto e sibili con polvere o gatti, gonfiore a labbra e gola dopo puntura di ape, prurito e gonfiore dopo mangiato frutta a guscio, rash dopo antibiotico sospetto allergia a farmaco, naso tappato tutto l'anno per acari, tosse notturna legata ad allergia, reazione importante a farmaco in passato da chiarire","Allergologia"
"Andrologia — si occupa di: difficoltà a mantenere l'erezione, eiaculazione troppo precoce, curvatura del pene che aumenta, dolore ai testicoli ricorrente, non arriva gravidanza valutazione infertilità maschile, fastidio scrotale varicocele sospetto, calo del desiderio e testosterone basso, ginecomastia aumento del seno maschile, pene doloroso durante l'erezione, fertilità maschile da controllare esami seminali","Andrologia"
"Angiologia — si occupa di: gambe pesanti con vene varicose visibili, caviglie gonfie la sera e crampi notturni, dolore ai polpacci quando cammino devo fermarmi, gamba gonfia calda e dolente sospetto trombosi, dita che diventano bianche al freddo fenomeno di Raynaud, ulcera alla caviglia che non guarisce, capillari rotti e teleangectasie sulle gambe, gonfiore da linfedema persistente, piede freddo e pallido con cammino limitato, dolore a riposo al piede che migliora tenendolo giù","Angiologia"
"Audioprotesista — si occupa di: sento poco la tv e le conversazioni, serve valutazione per apparecchio acustico, la protesi che ho va regolata meglio, faccio fatica a seguire nei locali rumorosi, mi dicono che alzo troppo il volume, vorrei provare un apparecchio acustico invisibile, calo udito progressivo cerco soluzione protesica, acufeni e difficoltà a capire le parole, test dell'udito per capire quanto ho perso, supporto e manutenzione apparecchio acustico","Audioprotesista"
"Cardiochirurgia — si occupa di: mi hanno proposto sostituzione della valvola cardiaca, aneurisma dell'aorta da operare, consiglio per bypass coronarico, insufficienza mitralica severa con affanno, difetto cardiaco congenito da correggere, endocardite con indicazione chirurgica, stenosi aortica severa sintomatica, rigurgito mitralico importante da correggere, tumore cardiaco mixoma da asportare, rivascolarizzazione dopo multiple angioplastiche fallite","Cardiochirurgia"
"Cardiologia — si occupa di: dolore al petto oppressivo con sudore freddo, battito accelerato cuore in gola, svenimenti senza motivo apparente, fiato corto salendo le scale, pressione alta non controllata, caviglie gonfie e affanno sospetto scompenso, soffio al cuore riscontrato, colesterolo alto e familiarità infarto precoce, battito irregolare come fibrillazione atriale, dolore al petto che va al braccio sinistro","Cardiologia"
"Chirurgia Generale — si occupa di: ernia inguinale dolorosa, calcoli alla colecisti coliche biliari, dolore in basso a destra appendicite sospetta, ernia ombelicale che aumenta, lipoma sottocutaneo da togliere, emorroidi che sanguinano e fanno male, cisti sebacea infiammata, ernia crurale da valutare, ernia incisionale dopo intervento precedente, pilonidale cisti sacrococcigea con secrezione","Chirurgia Generale"
"Chirurgia Maxillo-Facciale — si occupa di: fratture del volto e mandibola, tumori della bocca e del volto, cisti mascellari e mandibolari, malformazioni congenite del volto, chirurgia ortognatica malocclusioni, impianti dentali complessi, chirurgia dell'articolazione temporo-mandibolare, ricostruzione dopo traumi facciali, chirurgia estetica del volto, patologie delle ghiandole salivari","Chirurgia Maxillo-Facciale"
"Chirurgia Plastica ed Estetica — si occupa di: cicatrici cheloidee da trattare, ricostruzione mammaria post tumore, ptosi mammaria vorrei lifting o riduzione, rinoplastica per estetica e respirazione, orecchie a sventola otoplastica, esiti di ustioni da correggere, addominoplastica dopo grande dimagrimento, liposuzione aree resistenti, blefaroplastica palpebre cadenti, cicatrici da acne da migliorare","Chirurgia Plastica ed Estetica"
"Chirurgia Toracica — si occupa di: nodulo polmonare da resecare, pneumotorace ricorrente da trattare, iperidrosi palmare per simpatectomia, massa del mediastino valutazione chirurgica, deformità toracica pectus excavatum, decorticazione per empiema pleurico, tumore del polmone per lobectomia, biopsia polmonare chirurgica richiesta, trapianto di polmone valutazione, resezione metastasi polmonari","Chirurgia Toracica"
"Chirurgia Vascolare — si occupa di: varici agli arti inferiori da operare, aneurismi dell'aorta addominale, stenosi carotidea con rischio ictus, arteriopatia periferica claudicatio, trombosi venosa profonda acuta, piede diabetico con ischemia, accessi vascolari per dialisi, bypass arterioso per ischemia critica, embolia arteriosa acuta, insufficienza venosa cronica ulcere"","Chirurgia Vascolare"
"Dermatologia e Venerologia — si occupa di: acne con cisti e cicatrici, neo che cambia forma e colore, psoriasi a placche pruriginosa, forfora e cute grassa dermatite seborroica, chiazze senza capelli alopecia areata, micosi tra le dita del piede, pomfi pruriginosi orticaria cronica, eczema delle mani con fissurazioni, melasma macchie scure sul viso, rosacea arrossamento e bruciore al viso, malattie sessualmente trasmissibili, condilomi e verruche genitali, herpes genitale ricorrente","Dermatologia e Venerologia"
"Diabetologia — si occupa di: glicemia alta tanta sete e pipì, crisi di ipoglicemia ricorrenti, piede diabetico con ferita che non guarisce, necessità di impostare insulina, HbA1c fuori target da mesi, diabete gestazionale da seguire, formicolii ai piedi neuropatia, controllo complicanze del diabete, educazione all'uso del sensore glicemico, variazioni glicemiche dopo pasti","Diabetologia"
"Dietologia e Nutrizione — si occupa di: sovrappeso voglio piano alimentare, sindrome metabolica trigliceridi alti, intolleranze alimentari sospette, malnutrizione dopo malattia, dieta per sport e performance, piano nutrizionale per vegani, fegato grasso dieta per steatosi, ipertensione e dieta senza sale, ipercolesterolemia dieta mirata, PCOS dieta per regolarizzare cicli","Dietologia e Nutrizione"
"Ematologia — si occupa di: stanchezza e pallore anemia sospetta, piastrine basse su esami recenti, linfonodi ingrossati da settimane, trombosi ripetute trombofilia da valutare, emoglobina molto alta policitemia, coagulazione alterata sanguino facilmente, neutropenia con infezioni ricorrenti, gammapatia monoclonale riscontrata, sudorazioni notturne e calo peso con linfonodi, anemia falciforme o talassemia da seguire","Ematologia"
"Endocrinologia — si occupa di: stanchezza e freddo ipotiroidismo sospetto, dimagrimento tremori e palpitazioni ipertiroidismo, bozzo al collo nodulo tiroideo, galattorrea e prolattina alta, irsutismo e cicli irregolari pcos, calcemia alta iperparatiroidismo, aumento di peso e volto arrotondato cushing, ipogonadismo maschile con libido bassa, diabete insipido tanta pipì e sete, sindrome metabolica da inquadrare ormonalmente","Endocrinologia"
"Epatologia — si occupa di: fegato grasso su ecografia, occhi e pelle gialla ittero, epatite virale in fase attiva, cirrosi con ascite addome gonfio, transaminasi alte persistenti, prurito diffuso colestasi sospetta, fibrosi epatica da valutare elastografia, varici esofagee da monitorare, steatoepatite non alcolica sospetta, ecografia con fegato aumentato di volume","Epatologia"
"Fisiatria — si occupa di: difficoltà a muovere un braccio dopo ictus, rigidità articolare dopo frattura, spasticità post lesione neurologica, dolore cronico muscoloscheletrico da riabilitare, valutazione ausili e ortesi, riabilitazione dopo protesi d'anca, percorso riabilitativo multidisciplinare, stanchezza e fiato corto post covid da riabilitare, rieducazione al cammino dopo lunga immobilità, disfunzione della mano post ictus","Fisiatria"
"Fisioterapia e Massofisioterapia — si occupa di: sciatica dolore che scende nella gamba, tendinite della spalla cuffia dei rotatori, dolore cervicale con contratture, riabilitazione dopo ricostruzione crociato, epicondilite gomito del tennista, lombalgia meccanica da trattare, instabilità di caviglia dopo distorsione, rinforzo muscolare post intervento, fascite plantare dolore al tallone, esercizi per postura e core","Fisioterapia e Massofisioterapia"
"Gastroenterologia — si occupa di: bruciore di stomaco acido che risale, dolore alla pancia ricorrente, diarrea da settimane, stitichezza ostinata, sangue rosso nelle feci, gonfiore dopo pane celiaca sospetta, sospetta malattia infiammatoria intestinale, nausea e vomito ricorrenti, colon irritabile gonfiore e dolore, difficoltà a deglutire cibo che si ferma","Gastroenterologia"
"Geriatria — si occupa di: perdita di memoria negli ultimi mesi, cadute frequenti a casa, tanti farmaci da rivedere, fragilità con perdita di peso, confusione improvvisa delirium, problemi di equilibrio e cammino, piaghe da decubito da prevenire e curare, valutazione multidimensionale dell'anziano, incontinenza urinaria nuova insorgenza, stato nutrizionale scarso e disidratazione","Geriatria"
"Ginecologia — si occupa di: cicli irregolari e ritardi, dolore pelvico durante le mestruazioni, perdite vaginali con prurito ricorrente, gravidanza sospetta test positivo, consiglio su contraccezione e pillola, dolori molto forti endometriosi sospetta, sanguinamento dopo i rapporti, menopausa vampate e secchezza, fibromi uterini con ciclo abbondante, sindrome premestruale con sintomi forti","Ginecologia"
"Immunologia — si occupa di: infezioni ricorrenti immunità da controllare, autoimmunità sistemica sospetta, angioedema senza orticaria ricorrente, ipogammaglobulinemia su esami, febbre periodica ricorrente, consulenza su malattie autoimmuni rare, vaccinazioni in immunodepressi, immunoterapia per allergie complesse, sospetta carenza del complemento, malattie autoinfiammatorie da valutare","Immunologia"
"Infettivologia — si occupa di: febbre che dura da più di due settimane, HIV gestione e terapia, epatite virale in fase attiva, infezione ossea osteomielite, infezioni da batteri multiresistenti, febbre dopo viaggio in area tropicale, mononucleosi con lunga astenia, tubercolosi sospetta o latente, endocardite infettiva da seguire, sepsi pregressa follow up","Infettivologia"
"Logopedia — si occupa di: balbuzie che ostacola le conversazioni, voce roca disfonia da settimane, difficoltà a deglutire dopo ictus, ritardo del linguaggio nel bambino, disturbo della pronuncia dei suoni, riabilitazione voce dopo noduli alle corde vocali, afasia post ictus recupero linguaggio, disartria dopo trauma cranico, riabilitazione voce professionale insegnante, disturbo fonologico nel bambino","Logopedia"
"Medico di Medicina Generale — si occupa di: febbre senza causa evidente da pochi giorni, malessere generale e stanchezza persistente, dolore diffuso non localizzato, perdita di peso non intenzionale, linfonodi ingrossati da poco tempo, capogiri ricorrenti, pressione alta misurata a casa, vaccinazioni e prevenzione, dolore acuto di origine incerta, farmaci cronici da rivedere","Medico di Medicina Generale"
"Medicina dello Sport — si occupa di: idoneità sportiva agonistica da fare, ritorno allo sport dopo infortunio, dolori da sovraccarico nella corsa, valutazione rischio cardiaco per sport, consigli di nutrizione sportiva, test da sforzo per attività agonistica, ginocchio del corridore dolore laterale, gestione infortunio muscolare dell'atleta, programmi di forza e mobilità specifici, prevenzione degli infortuni stagionali","Medicina dello Sport"
"Medicina Legale — si occupa di: valutazione danno biologico post incidente, perizia medico legale assicurativa, idoneità medico legale per patente, valutazione invalidità civile, responsabilità professionale parere tecnico, consulenza medico legale sul lavoro, certificazione post infortunio, quantificazione danno estetico, ricorso per inabilità permanente, consulenza tabelle risarcitorie","Medicina Legale"
"Nefrologia — si occupa di: urine schiumose proteinuria, creatinina alta su esami recenti, gonfiore a caviglie edemi renali, ematuria microscopica ricorrente, ipertensione nefrovascolare sospetta, calcoli renali ricorrenti, insufficienza renale cronica da seguire, sodio e potassio sballati, dolore al fianco con coliche ricorrenti, proteinuria in gravidanza da valutare","Nefrologia"
"Neurochirurgia — si occupa di: ernia del disco con perdita di forza alla gamba, nevralgia del trigemino refrattaria ai farmaci, tumore cerebrale con indicazione chirurgica, idrocefalo da trattare con derivazione, stenosi del canale lombare con claudicatio, malformazioni vascolari cerebrali, frattura vertebrale instabile, malformazione di Chiari da valutare, siringomielia con peggioramento, discopatia cervicale con mielopatia","Neurochirurgia"
"Neurologia — si occupa di: mal di testa forte ricorrente emicrania, formicolio a mani e piedi persistente, crisi epilettiche con perdita di coscienza, tremore alle mani e movimenti lenti, sclerosi multipla sospetta, vertigini con altri segni neurologici, problemi di memoria e attenzione, disturbi del sonno di origine neurologica, neuropatia con bruciore ai piedi, TIA episodi neurologici transitori","Neurologia"
"Odontoiatria e Ortodonzia — si occupa di: mal di denti pulsante, gengive che sanguinano quando lavo i denti, denti storti malocclusione, denti del giudizio inclusi e dolorosi, bruxismo digrigno i denti la notte, carie profonda sensibile al freddo, valutazione per impianti dentali, alito cattivo persistente, protesi mobile da adattare meglio, apparecchio ortodontico per affollamento","Odontoiatria e Ortodonzia"
"Oftalmologia (Oculistica) — si occupa di: calo visivo improvviso da un occhio, occhio rosso doloroso con luce fastidiosa, mosche volanti e lampi di luce, pressione alta nell'occhio glaucoma sospetto, vista appannata cataratta, occhio che lacrima e prude con secrezione, orzaiolo palpebra gonfia e dolente, vedo doppio diplopia, tenda nera che cala su un occhio, dolore oculare con aloni colorati","Oftalmologia (Oculistica)"
"Oncologia — si occupa di: perdita di peso non voluta con stanchezza, nodulo al collo che cresce, neoplasia in trattamento chemioterapia, marcatori tumorali elevati su esami, metastasi sospette da confermare, sudorazioni notturne con linfonodi, sangue nelle urine e calo peso, dolore osseo persistente notturno, massa addominale nuova, follow up oncologico post terapia","Oncologia"
"Ortopedia — si occupa di: dolore al ginocchio dopo corsa, spalla instabile esce la spalla, frattura sospetta dopo caduta, alluce valgo doloroso, formicolio notturno tunnel carpale, ginocchio che si blocca lesione meniscale, tendinite achillea dolore al tallone, dito a scatto doloroso, rottura cuffia dei rotatori sospetta, dolore all'anca artrosi sospetta","Ortopedia"
"Osteopatia — si occupa di: dolore muscolare diffuso senza lesioni, tensioni miofasciali al collo, mal di schiena funzionale senza red flags, colpo di frusta esiti funzionali, dolore pelvico funzionale, mal di testa da tensione muscolare, rigidità toracica con respiro corto non cardiaco, squilibri posturali lievi, blocco costale dopo sforzo, senso di corpo rigido al risveglio","Osteopatia"
"Otorinolaringoiatria — si occupa di: otite media ricorrente, ipoacusia improvvisa da un orecchio, acufeni fischio continuo, tonsilliti frequenti con placche, vertigini brevi quando giro la testa, naso chiuso per setto deviato, polipi nasali con ostruzione, epistassi sangue dal naso ricorrente, voce nasale e russamento, sinusite con dolore al volto","Otorinolaringoiatria"
"Pediatria — si occupa di: febbre alta nel bambino, otite nel bambino con pianto e febbre, ritardo della crescita peso basso, mal di pancia ricorrente nel bambino, vaccinazioni pediatriche da fare, rash cutaneo nel bambino, tosse persistente nel bambino, reflusso del neonato rigurgiti, mal d'orecchio e naso chiuso, scarso appetito e perdita di peso","Pediatria"
"Pneumologia — si occupa di: tosse cronica da mesi, fiato corto a riposo o sotto sforzo, asma bronchiale con sibili, BPCO riacutizzata tosse e catarro, russamento e apnee notturne, sangue quando tossisco emottisi, bronchiti ricorrenti, dolore toracico quando respiro profondamente, fiato corto dopo infezione recente, dispnea notturna che mi sveglia","Pneumologia"
"Podologia — si occupa di: calli e duroni sotto i piedi, unghia incarnita alluce dolente, ulcere del piede da diabete, piede piatto con dolore plantare, ipercheratosi plantare dolorosa, unghia ispessita micosi onicomicosi, metatarsalgia dolore all'avampiede, cura unghie difficili nell'anziano, dolore al tallone spina calcaneare, vesciche e sfregamenti camminando","Podologia"
"Psichiatria — si occupa di: tristezza profonda da settimane depressione, ansia grave con attacchi di panico, sbalzi di umore fasi maniacali e depressive, sento voci o vedo cose psicosi, pensieri suicidari serve aiuto urgente, insonnia grave con agitazione, disturbo alimentare con rischio fisico, astinenza da alcol o sostanze con rischi, ossessioni che occupano ore al giorno, ansia sociale invalidante","Psichiatria"
"Radiologia e Radiologia Diagnostica — si occupa di: richiesta risonanza magnetica colonna lombare, ecografia addome completa richiesta, TC torace per sospetto nodulo, mammografia di screening, RX ginocchio dopo trauma, ecografia tiroide per noduli, TC addome per coliche renali, RM encefalo per cefalea cronica, ecografia pelvica per fibromi, ecografia reni e vescica per coliche","Radiologia e Radiologia Diagnostica"
"Reumatologia — si occupa di: articolazioni gonfie e rigide al mattino, dolori articolari migranti, mal di schiena infiammatorio migliora muovendomi, dita bianche al freddo fenomeno di Raynaud, lupus o altra connettivite sospetta, dolore alluce con gonfiore gotta, mani gonfie e doloranti artrite, porpora e macchie vasculite sospetta, occhi e bocca secchi sindrome di Sjogren, febbre e dolori con VES alta","Reumatologia"
"Urologia — si occupa di: pipì spesso e bruciore cistite, urine rosse sangue visibile, getto debole e minzione lenta prostata, colica renale dolore forte al fianco, infezioni urinarie ricorrenti, perdite involontarie sforzo incontinenza, dolore ai reni urine scure, fastidio scrotale varicocele, calcoli vescicali sospetti, urgenza urinaria improvvisa frequente","Urologia"
